Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
17274,Feynman Lectures On Computation (Frontiers in Physics),Richard P. Feynman,"Feynman, Richard P.",,"=""0738202967""","=""9780738202969""",0,4.24,Westview Press,Paperback,320,2000,1996,,2023/03/21,to-read,to-read (#67),to-read,,,,0,0
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,"=""150114331X""","=""9781501143311""",0,4.03,Simon & Schuster,Hardcover,335,2018,2018,,2023/03/19,to-read,to-read (#66),to-read,,,,0,0
739735,How to Prove It: A Structured Approach,Daniel J. Velleman,"Velleman, Daniel J.",,"=""0521675995""","=""9780521675994""",0,4.28,Cambridge University Press,Paperback,384,2006,1994,,2023/03/11,to-read,to-read (#65),to-read,,,,0,0
79678,Technopoly: The Surrender of Culture to Technology,Neil Postman,"Postman, Neil",,"=""0679745408""","=""9780679745402""",0,3.94,Vintage,Paperback,222,1993,1992,,2023/03/07,to-read,to-read (#64),to-read,,,,0,0
26096,In Praise of Slowness: Challenging the Cult of Speed,Carl Honoré,"Honoré, Carl",,"=""0060750510""","=""9780060750510""",4,3.66,HarperOne,Paperback,321,2005,2004,2023/03/04,2022/09/19,"audio-books, non-fiction, self-help, philosophy","audio-books (#2), non-fiction (#15), self-help (#3), philosophy (#4)",read,"A little pretentious, but he makes a good argument.",,,1,0
40405444,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""0525536515""","=""9780525536512""",4,4.06,Portfolio,Hardcover,284,2019,2019,2021/03/01,2021/02/26,"non-fiction, philosophy, self-help","non-fiction (#6), philosophy (#3), self-help (#2)",read,,,,1,0
40204318,A Polaroid Guy in a Snapchat World,David Spade,"Spade, David",,"=""""","=""""",4,3.61,Audible Studios,Audiobook,,2018,,2023/02/07,2023/01/26,audio-books,audio-books (#1),read,,,,1,0
746971,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,"Adams, Douglas",,"=""0517548747""","=""9780517548745""",4,4.17,Harmony Books,Hardcover,227,1982,1982,2023/02/06,2023/01/01,"classics, fiction, sci-fi","classics (#10), fiction (#18), sci-fi (#6)",read,,,,1,0
45967,The Blind Owl,Sadegh Hedayat,"Hedayat, Sadegh","صادق هدایت, D.P. Costello","=""0802131808""","=""9780802131805""",0,3.97,Grove/ Evergreen,Paperback,148,1957,1937,,2023/01/08,to-read,to-read (#63),to-read,,,,0,0
862825,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,"Adams, Douglas",,"=""0517545357""","=""9780517545355""",5,4.20,Harmony,Hardcover,250,1981,1980,2022/12/30,2022/11/29,"fiction, sci-fi","fiction (#17), sci-fi (#5)",read,,,,1,0
56217823,"Programming Rust: Fast, Safe Systems Development",Jim Blandy,"Blandy, Jim","Jason Orendorff, Leonora L.F. Tindall","=""1492052590""","=""9781492052593""",0,4.63,O'Reilly Media,Paperback,735,2021,2015,,2022/10/19,to-read,to-read (#62),to-read,,,,0,0
43244377,Wuthering Heights,Emily Brontë,"Brontë, Emily",,"=""1912714078""","=""9781912714070""",0,3.89,Chiltern Publishing,Hardcover,365,2018,1847,,2022/11/13,to-read,to-read (#61),to-read,,,,0,0
12745352,Heaven and Hell,Jón Kalman Stefánsson,"Stefánsson, Jón Kalman",,"=""1849164061""","=""9781849164061""",0,4.16,MacLehose Press,Paperback,215,2011,2007,,2022/11/21,to-read,to-read (#60),to-read,,,,0,0
285985,"The Hitchhiker's Guide to the Galaxy  (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""0517542099""","=""9780517542095""",5,4.23,Harmony,Hardcover,215,1989,1979,2022/11/11,2022/10/22,"classics, fiction, reread, sci-fi","classics (#9), fiction (#16), reread (#3), sci-fi (#4)",read,,,,1,0
36844896,"The Time Machine (Essential Gothic, SF & Dark Fantasy)",H.G. Wells,"Wells, H.G.",,"=""1787550931""","=""9781787550933""",5,3.89,Flame Tree 451,Paperback,128,2018,1895,2022/10/16,2022/10/09,"classics, fiction, sci-fi","classics (#8), fiction (#15), sci-fi (#3)",read,I liked this a lot more than I thought I would.,,,1,0
26632044,Shell Scripting: How to Automate Command Line Tasks Using Bash Scripting and Shell Programming,Jason Cannon,"Cannon, Jason",,"=""""","=""""",3,4.22,,Kindle Edition,99,2015,2015,2022/10/16,2022/10/08,"non-fiction, programming","non-fiction (#14), programming (#2)",read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4,4.51,Ballantine Books,Hardcover,476,2021,2021,2022/10/05,2021/12/07,"fiction, sci-fi","fiction (#14), sci-fi (#2)",read,,,,1,0
19089,Middlemarch,George Eliot,"Eliot, George",Michel Faber,"=""0451529170""","=""9780451529176""",0,4.02,Signet,Mass Market Paperback,912,2003,1872,,2022/09/10,to-read,to-read (#59),to-read,,,,0,0
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,"=""0060589469""","=""9780060589462""",0,3.78,HarperTorch,Mass Market Paperback,540,2006,1974,,2022/08/06,to-read,to-read (#58),to-read,,,,0,0
49081674,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""0593189647""","=""9780593189641""",5,4.34,Penguin Random House USA,Paperback,306,2019,2018,2022/07/23,2022/07/16,"non-fiction, self-help","non-fiction (#13), self-help (#1)",read,,,,1,0
60060907,Introduction to Classical and Quantum Computing,Thomas G. Wong,"Wong, Thomas G.",,"=""""","=""""",0,4.60,,Kindle Edition,392,2022,,,2022/07/14,to-read,to-read (#56),to-read,,,,0,0
21911871,Watchmen,Alan             Moore,"Moore, Alan",Dave Gibbons,"=""0606357424""","=""9780606357425""",5,4.38,"DC Comics,2008",Hardcover,448,1619,1987,2022/07/12,2022/07/04,"fiction, graphic-novels","fiction (#13), graphic-novels (#6)",read,God damn that was good...,,,1,0
